2018-08-30 09:46:38 status installed libdbi-perl:amd64 1.636-1+b1
2018-08-30 09:46:38 configure mariadb-common:all 10.1.26-0+deb9u1 <none>
2018-08-30 09:46:38 status unpacked mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:38 status half-configured mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:38 status installed mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:38 configure mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1 <none>
2018-08-30 09:46:38 status unpacked mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status half-configured mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status installed mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 configure libdbd-mysql-perl:amd64 4.041-2 <none>
2018-08-30 09:46:38 status unpacked libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 status half-configured libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 status installed libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 configure mariadb-client-10.1:amd64 10.1.26-0+deb9u1 <none>
2018-08-30 09:46:38 status unpacked mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status half-configured mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status installed mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 configure default-mysql-client:all 1.0.2 <none>
2018-08-30 09:46:38 status unpacked default-mysql-client:all 1.0.2
2018-08-30 09:46:38 status half-configured default-mysql-client:all 1.0.2
2018-08-30 09:46:38 status installed default-mysql-client:all 1.0.2
2018-08-30 09:46:38 configure mysql-client:amd64 5.5.9999+default <none>
2018-08-30 09:46:38 status unpacked mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 status half-configured mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 status installed mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-08-30 09:46:38 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-08-30 09:46:38 status installed libc-bin:amd64 2.24-11+deb9u3
